sku_id,store_id,category,brand,price,cost,on_hand,lead_time_days,days_since_first_sale,avg_daily_sales_30d,avg_daily_sales_90d,total_sales_365d,sales_last_7d,promo_flag_14d,promo_depth,price_elasticity_est,seasonality_index,store_footfall,store_income_bracket,region,days_out_of_stock_365d,returns_rate,shelf_life_days,is_new_launch,competitor_price_index,holiday_flag,label_deadstock_90d,snapshot_date
SKU_00050,STORE_026,Footwear,Per Una,4198.02,1981.05,46,28,26,1.15,1.61,914,52,1,0.18,-1.34,0.94,9347,low,South,50,0.11,84,0,1.18,0,1,2025-01-03 07:34:22.700010
SKU_00051,STORE_002,Apparel,M&S Core,3910.02,3395.72,48,15,1256,2.25,0.62,1321,170,0,0.46,-2.01,0.64,9750,high,North,7,0.18,229,0,0.87,0,1,2024-10-06 07:34:22.700010
SKU_00052,STORE_020,Home,Per Una,1734.91,1623.58,60,20,1384,0.81,0.37,3006,179,0,0.4,-1.2,1.37,6089,med,South,46,0.19,55,0,0.89,0,0,2025-08-02 07:34:22.700010
SKU_00053,STORE_028,Apparel,Per Una,2951.43,1862.25,65,26,1615,1.07,2.88,1799,59,1,0.3,-1.43,0.75,6452,high,South,88,0.25,180,0,1.12,1,0,2025-03-24 07:34:22.700010
SKU_00054,STORE_047,Footwear,Goodmove,1470.3,1395.11,58,24,1717,1.14,5.84,2158,55,0,0.11,-1.77,0.85,1670,low,West,36,0.12,46,0,1.05,0,0,2025-08-14 07:34:22.700010
SKU_00055,STORE_007,Apparel,M&S Core,2965.4,3807.88,52,28,595,1.13,4.07,1422,58,0,0.42,-1.51,0.74,2817,low,Central,6,0.02,182,1,1.08,0,1,2024-10-27 07:34:22.700010
SKU_00056,STORE_044,Footwear,Goodmove,2243.81,1913.31,41,3,1423,2.75,1.01,422,133,1,0.01,-1.3,1.28,5553,med,East,54,0.11,199,0,0.91,0,0,2025-04-05 07:34:22.700010
SKU_00057,STORE_008,Footwear,Blue Harbour,1988.44,3044.88,47,11,1752,0.88,0.08,2213,108,0,0.47,-2.69,1.42,3074,med,South,52,0.21,172,0,1.18,0,0,2024-09-17 07:34:22.700010
SKU_00058,STORE_047,Apparel,Blue Harbour,1080.11,2814.04,49,28,650,4.59,0.82,4084,95,0,0.22,-1.41,0.98,9331,high,Central,82,0.18,141,0,1.0,0,0,2024-11-08 07:34:22.700010
SKU_00059,STORE_035,Footwear,Goodmove,2895.41,1016.84,48,22,33,0.53,0.24,3453,27,0,0.49,-2.05,1.32,8150,med,North,14,0.23,48,1,1.08,0,0,2025-06-19 07:34:22.700010
SKU_00060,STORE_014,Accessories,Blue Harbour,3699.72,3664.53,44,21,649,5.37,1.08,80,50,0,0.17,-1.23,1.26,1676,med,Central,62,0.07,235,0,1.06,0,1,2025-05-15 07:34:22.700010
SKU_00061,STORE_017,Apparel,Goodmove,2941.14,2224.26,64,12,1148,0.27,1.67,2514,2,0,0.4,-1.78,1.05,5290,high,West,8,0.28,137,0,0.87,0,0,2024-09-26 07:34:22.700010
SKU_00062,STORE_036,Accessories,Autograph,531.29,3437.64,60,18,145,1.51,0.05,3265,156,0,0.04,-0.98,0.92,853,med,North,4,0.21,58,0,1.09,0,1,2025-02-19 07:34:22.700010
SKU_00063,STORE_050,Apparel,Per Una,4635.77,3345.53,48,13,1628,0.49,1.48,3067,115,0,0.43,-1.48,1.49,2693,high,North,28,0.23,164,0,0.99,0,0,2025-04-10 07:34:22.700010
SKU_00064,STORE_040,Footwear,Autograph,225.36,328.81,50,13,551,3.57,0.11,4938,157,1,0.14,-1.98,0.66,6414,low,East,63,0.21,195,0,1.02,0,0,2025-07-10 07:34:22.700010
SKU_00065,STORE_004,Footwear,M&S Core,4447.28,2517.11,40,27,757,4.43,0.03,2013,182,0,0.2,-2.25,0.51,7089,med,North,84,0.27,139,0,1.12,0,1,2024-10-21 07:34:22.700010
SKU_00066,STORE_002,Home,Autograph,3876.15,3177.04,59,25,1131,1.18,0.58,1180,18,0,0.06,-2.16,0.73,6123,med,South,43,0.27,151,1,0.83,0,0,2024-09-12 07:34:22.700010
SKU_00067,STORE_006,Home,Autograph,662.47,3635.34,53,15,1077,0.92,2.67,230,147,0,0.41,-1.27,1.27,3028,med,Central,77,0.27,359,0,0.9,0,1,2024-11-26 07:34:22.700010
SKU_00068,STORE_042,Accessories,Blue Harbour,1334.51,2074.55,46,12,486,0.1,0.41,3457,112,0,0.38,-1.22,0.72,6403,low,West,78,0.16,263,0,0.87,0,1,2025-06-28 07:34:22.700010
SKU_00069,STORE_004,Footwear,Goodmove,1874.04,3027.78,39,18,139,1.22,1.9,1501,35,0,0.31,-1.93,0.7,5383,med,South,14,0.21,279,0,0.93,0,1,2025-03-26 07:34:22.700010
SKU_00070,STORE_029,Home,M&S Core,4568.44,3881.56,53,10,887,0.0,1.72,2067,187,0,0.2,-1.39,0.85,4203,low,North,35,0.24,311,0,0.85,0,1,2025-03-11 07:34:22.700010
SKU_00071,STORE_018,Footwear,Blue Harbour,4902.65,3328.59,49,21,1757,1.59,1.44,3936,104,0,0.15,-0.38,0.84,1272,med,East,12,0.05,175,0,1.13,0,0,2025-06-16 07:34:22.700010
SKU_00072,STORE_026,Apparel,M&S Core,617.41,3432.25,38,5,17,3.91,5.48,719,157,1,0.22,-0.94,1.28,7537,low,East,57,0.26,265,0,1.09,0,0,2025-07-31 07:34:22.700010
SKU_00073,STORE_044,Home,Per Una,2104.27,1688.4,51,18,88,4.18,0.06,4033,95,0,0.34,-2.23,1.23,3383,low,East,86,0.06,207,0,1.15,0,1,2024-10-25 07:34:22.700010
SKU_00074,STORE_034,Accessories,Goodmove,915.55,457.59,61,20,735,0.94,1.12,3775,79,0,0.0,-1.77,1.05,5111,high,North,68,0.02,222,0,1.18,0,1,2025-07-11 07:34:22.700010
SKU_00075,STORE_010,Home,Blue Harbour,1535.5,3867.51,56,20,523,1.7,1.49,89,39,0,0.28,-2.27,1.32,501,med,South,69,0.1,364,0,0.99,0,0,2024-12-19 07:34:22.700010
SKU_00076,STORE_036,Footwear,Autograph,4908.14,2813.69,55,28,1056,0.79,1.95,473,53,1,0.14,-2.52,1.48,7386,low,East,10,0.2,296,0,1.13,0,1,2025-09-04 07:34:22.700010
SKU_00077,STORE_014,Beauty,Per Una,4924.25,767.54,41,9,1306,5.18,2.29,4553,114,1,0.16,-1.99,1.45,8505,high,West,79,0.06,224,0,0.85,1,1,2025-06-30 07:34:22.700010
SKU_00078,STORE_031,Beauty,Autograph,2465.26,3897.95,42,13,598,2.09,0.52,149,182,0,0.47,-2.12,0.95,3744,med,East,31,0.11,36,0,0.97,0,0,2024-09-30 07:34:22.700010
SKU_00079,STORE_048,Footwear,M&S Core,1078.07,2891.57,56,14,531,1.32,3.18,1167,150,0,0.02,-1.4,1.47,6205,low,South,16,0.16,268,0,1.15,0,1,2025-04-19 07:34:22.700010
SKU_00080,STORE_015,Apparel,Per Una,2824.69,452.44,46,24,243,0.26,1.55,1681,139,1,0.34,-1.27,0.77,3964,high,North,39,0.01,206,0,1.03,1,0,2024-11-28 07:34:22.700010
SKU_00081,STORE_008,Home,Blue Harbour,1738.29,766.17,55,23,1289,0.3,1.85,3199,105,0,0.13,-1.4,0.87,5812,low,Central,3,0.16,0,0,1.11,0,0,2024-12-15 07:34:22.700010
SKU_00082,STORE_014,Beauty,Autograph,4657.39,3475.1,52,23,102,3.9,1.23,384,143,0,0.19,-1.56,0.72,3131,med,Central,34,0.3,138,0,0.97,0,1,2025-04-10 07:34:22.700010
SKU_00083,STORE_023,Apparel,Autograph,4126.43,3819.95,45,14,1690,0.23,4.95,3976,42,0,0.17,-1.65,1.37,8376,low,East,12,0.03,207,0,0.96,1,1,2025-07-17 07:34:22.700010
SKU_00084,STORE_040,Footwear,M&S Core,1681.44,1522.83,49,12,596,0.29,0.69,492,148,0,0.42,-1.45,0.79,3324,med,North,38,0.15,264,0,1.02,0,0,2024-11-03 07:34:22.700010
SKU_00085,STORE_021,Apparel,M&S Core,286.88,1711.72,58,16,361,0.62,5.21,510,11,0,0.01,-1.51,0.59,1164,high,South,67,0.03,268,0,1.17,0,0,2025-08-03 07:34:22.700010
SKU_00086,STORE_016,Footwear,Goodmove,4989.63,1642.27,43,13,630,0.37,2.4,3416,36,1,0.21,-0.89,0.87,5398,low,East,29,0.11,70,0,1.13,0,0,2025-01-25 07:34:22.700010
SKU_00087,STORE_045,Home,Goodmove,3479.05,3357.89,55,9,1870,3.47,3.4,4293,9,0,0.1,-1.99,1.01,2723,med,Central,1,0.29,287,0,1.12,0,0,2025-06-01 07:34:22.700010
SKU_00088,STORE_018,Apparel,M&S Core,2242.49,1867.7,58,5,1861,0.01,1.97,1665,19,0,0.32,-1.33,0.96,8927,high,East,78,0.11,288,0,0.97,0,0,2025-08-29 07:34:22.700010
SKU_00089,STORE_047,Home,Goodmove,1583.59,1563.5,46,5,1074,3.77,0.73,2186,182,1,0.04,-2.27,0.93,2141,high,Central,9,0.09,33,0,0.95,0,0,2024-10-09 07:34:22.700010
SKU_00090,STORE_024,Apparel,Autograph,220.24,2525.29,50,5,1167,1.11,2.85,3153,60,0,0.45,-1.12,0.96,6624,med,South,27,0.26,105,0,1.17,0,1,2025-01-14 07:34:22.700010
SKU_00091,STORE_026,Footwear,M&S Core,938.01,2013.08,58,14,338,2.53,1.26,4913,50,0,0.4,-2.45,1.46,6817,low,East,19,0.21,231,0,1.09,0,1,2024-12-29 07:34:22.700010
SKU_00092,STORE_025,Footwear,Per Una,227.18,2180.35,52,22,1441,0.97,2.35,4661,92,1,0.12,-2.13,1.46,4024,med,West,12,0.29,242,0,0.83,1,1,2024-12-13 07:34:22.700010
SKU_00093,STORE_045,Apparel,M&S Core,3067.41,1687.35,39,7,783,4.96,0.48,2042,44,0,0.27,-1.47,1.47,6607,med,South,4,0.25,269,0,0.91,0,1,2024-11-30 07:34:22.700010
SKU_00094,STORE_041,Footwear,Blue Harbour,3383.05,1896.01,48,20,586,0.59,0.1,4995,145,0,0.42,-1.23,0.51,5245,high,North,51,0.23,71,0,0.86,0,0,2025-06-03 07:34:22.700010
SKU_00095,STORE_029,Accessories,Blue Harbour,3879.62,240.3,48,13,421,0.5,2.01,3438,32,1,0.1,-1.62,1.38,8056,med,West,41,0.24,186,0,0.86,0,0,2025-03-02 07:34:22.700010
SKU_00096,STORE_015,Accessories,M&S Core,1096.6,3710.55,65,15,502,3.11,4.15,4839,198,0,0.38,-1.37,1.17,7857,high,South,21,0.17,319,0,1.07,0,0,2025-05-08 07:34:22.700010
SKU_00097,STORE_045,Home,Per Una,659.66,219.23,49,23,1450,0.02,2.89,4081,137,0,0.25,-2.8,0.83,2801,med,Central,78,0.08,228,0,1.17,0,1,2025-06-24 07:34:22.700010
SKU_00098,STORE_001,Accessories,M&S Core,3321.2,3113.97,60,6,562,0.12,3.97,2457,48,0,0.23,-1.47,0.59,8568,med,Central,36,0.12,183,1,1.02,0,0,2025-04-25 07:34:22.700010
SKU_00099,STORE_025,Accessories,Per Una,2598.49,1263.25,63,11,1666,0.61,0.03,1881,17,1,0.15,-1.01,0.91,7272,med,Central,71,0.24,335,0,1.0,0,0,2025-03-24 07:34:22.700010
SKU_00100,STORE_007,Beauty,Autograph,4402.29,537.79,53,7,1372,3.08,4.1,1595,179,0,0.11,-0.79,0.86,7400,low,North,24,0.16,155,0,0.85,1,1,2025-04-26 07:34:22.700010
SKU_00101,STORE_009,Beauty,Autograph,2758.68,2477.81,47,17,1130,0.46,0.93,3337,99,0,0.45,-1.11,0.5,4307,high,South,45,0.14,139,0,0.99,0,0,2025-07-17 07:34:22.700010
SKU_00102,STORE_024,Beauty,Per Una,2334.14,2857.11,47,23,259,1.71,0.22,4266,181,0,0.01,-2.16,0.94,4927,med,South,41,0.03,356,0,1.02,0,1,2025-03-28 07:34:22.700010
SKU_00103,STORE_001,Beauty,Goodmove,2541.53,2557.79,45,2,903,0.36,2.86,118,164,0,0.12,-1.14,1.4,1568,med,West,61,0.03,255,0,0.93,0,0,2025-03-12 07:34:22.700010
SKU_00104,STORE_044,Footwear,Autograph,3954.14,2346.73,48,15,1068,5.4,1.79,4162,186,1,0.5,-0.96,0.81,9921,low,South,40,0.15,308,0,0.97,0,0,2025-01-26 07:34:22.700010
SKU_00105,STORE_008,Home,Blue Harbour,286.86,2191.13,52,11,1935,0.73,0.73,3302,50,1,0.09,-2.47,0.72,6998,low,West,82,0.17,125,1,1.04,0,0,2025-07-03 07:34:22.700010
SKU_00106,STORE_024,Home,M&S Core,4606.41,2210.13,45,19,1009,0.2,4.44,4145,57,0,0.04,-1.74,0.83,8038,high,East,6,0.12,136,0,0.95,1,1,2025-06-22 07:34:22.700010
SKU_00107,STORE_011,Accessories,Goodmove,3627.11,3475.14,47,17,1132,0.37,4.64,3231,199,1,0.06,-1.74,0.88,2167,low,North,55,0.01,169,0,0.87,1,1,2024-09-13 07:34:22.700010
SKU_00108,STORE_017,Home,Blue Harbour,4448.39,451.6,48,27,514,1.58,1.67,4045,27,0,0.04,-2.42,0.79,7331,high,North,21,0.3,205,0,1.14,1,1,2025-06-14 07:34:22.700010
SKU_00109,STORE_008,Accessories,M&S Core,4805.08,713.74,61,3,69,0.41,5.09,1067,83,0,0.43,-1.43,0.95,7471,high,East,84,0.21,217,0,0.81,0,0,2024-12-23 07:34:22.700010
SKU_00110,STORE_035,Home,Blue Harbour,1283.82,3269.34,44,15,198,2.71,0.12,1109,96,0,0.12,-0.44,1.24,2416,high,East,74,0.17,306,1,0.96,0,0,2025-01-22 07:34:22.700010
SKU_00111,STORE_035,Apparel,Goodmove,2975.04,1281.86,61,11,1157,0.75,0.45,1927,147,0,0.08,-0.85,1.28,2253,high,Central,75,0.05,146,1,1.19,0,1,2024-09-16 07:34:22.700010
SKU_00112,STORE_033,Apparel,Per Una,2532.01,3109.08,53,6,1309,0.39,2.43,3267,30,0,0.27,-0.76,1.34,1457,low,Central,72,0.2,112,0,1.05,0,0,2024-10-19 07:34:22.700010
SKU_00113,STORE_005,Home,M&S Core,2779.57,1475.51,58,4,1681,0.2,0.43,554,130,0,0.49,-0.49,0.65,3370,med,Central,50,0.05,184,0,0.97,0,0,2025-08-13 07:34:22.700010
SKU_00114,STORE_042,Footwear,Blue Harbour,425.99,3709.1,59,2,574,0.67,3.2,3509,123,0,0.37,-2.17,0.57,8031,low,South,72,0.06,142,0,1.06,0,1,2024-11-01 07:34:22.700010
SKU_00115,STORE_039,Accessories,Blue Harbour,4586.13,1197.2,55,6,1144,6.0,0.57,4487,106,1,0.36,-2.5,0.5,2612,high,South,32,0.01,312,0,0.86,0,0,2025-03-18 07:34:22.700010
SKU_00116,STORE_041,Home,Goodmove,4781.48,1764.9,51,7,60,0.1,2.67,1385,31,0,0.35,-2.14,0.8,6546,low,North,8,0.11,281,0,0.86,1,1,2025-01-19 07:34:22.700010
SKU_00117,STORE_028,Accessories,Goodmove,3487.6,719.48,59,12,840,6.19,3.95,3416,151,0,0.04,-1.34,0.61,8705,med,East,61,0.2,32,0,0.93,1,0,2025-07-12 07:34:22.700010
SKU_00118,STORE_007,Beauty,Goodmove,1438.73,2700.07,48,19,692,2.73,3.41,3433,35,1,0.2,-1.03,1.22,5601,high,North,25,0.14,174,0,1.07,0,1,2024-12-12 07:34:22.700010
SKU_00119,STORE_009,Home,Per Una,3977.59,1671.24,50,9,1565,1.76,0.3,2199,45,0,0.26,-1.31,0.7,1385,high,East,84,0.29,326,0,0.89,1,1,2025-05-20 07:34:22.700010
SKU_00120,STORE_008,Footwear,Autograph,3707.06,3770.7,39,27,982,1.34,2.87,2180,127,0,0.46,-0.33,1.3,9163,low,South,31,0.28,341,0,1.19,1,0,2025-06-01 07:34:22.700010
SKU_00121,STORE_012,Beauty,Blue Harbour,2957.03,161.42,56,22,784,0.31,4.37,3189,14,0,0.35,-1.56,0.94,2441,low,North,47,0.13,260,0,1.1,0,0,2024-11-17 07:34:22.700010
SKU_00122,STORE_034,Home,Per Una,1016.15,1611.84,66,20,1012,0.08,0.79,218,43,0,0.18,-1.76,0.6,2517,low,Central,35,0.14,121,0,1.03,0,0,2025-04-19 07:34:22.700010
SKU_00123,STORE_033,Apparel,Blue Harbour,1164.66,192.16,35,19,1177,1.95,1.23,3013,11,1,0.29,-2.52,0.99,1869,high,North,25,0.21,322,0,0.86,0,0,2025-06-14 07:34:22.700010
SKU_00124,STORE_048,Home,Per Una,3028.14,1383.26,40,7,234,0.55,8.98,3356,94,1,0.34,-1.13,0.58,6409,low,East,33,0.22,199,0,1.08,0,0,2025-02-22 07:34:22.700010
SKU_00125,STORE_023,Apparel,M&S Core,817.36,1582.96,54,18,1987,1.51,6.15,4334,130,0,0.17,-1.91,1.03,3488,high,North,20,0.08,174,0,1.02,0,0,2024-10-04 07:34:22.700010
